City_ID,City,City latitude,City longitude,Max temperature,Humidity,Cloud coverage,Wind speed,City country,City datetime
251,Faribault,44.295,-93.2688,82.87,68,75,13.8,US,1659310492
252,Soyo,-6.1349,12.3689,69.08,93,1,9.26,AO,1659310492
253,Touros,-5.1989,-35.4608,76.41,84,45,12.64,BR,1659310255
254,Yumbe,3.4651,31.2469,62.98,95,82,2.71,UG,1659310493
255,Ariquemes,-9.9133,-63.0408,78.85,43,1,0.81,BR,1659310493
256,Maniitsoq,65.4167,-52.9,42.24,90,64,6.96,GL,1659310493
257,Klaksvík,62.2266,-6.589,50.4,84,32,13.62,FO,1659310494
258,Chimoio,-19.1164,33.4833,55.26,94,0,1.12,MZ,1659310494
259,Tupik,54.4253,119.9327,67.41,73,34,4.97,RU,1659310494
260,Makat,47.6469,53.3463,80.78,36,90,7.87,KZ,1659310495
261,Maragogi,-9.0122,-35.2225,74.55,85,26,9.42,BR,1659310495
262,Khurda,20.1833,85.6167,82.31,79,100,6.35,IN,1659310495
263,Cooma,-36.2333,149.1333,44.37,75,40,17.27,AU,1659310456
264,Grindavik,63.8424,-22.4338,49.95,87,75,10.36,IS,1659310496
265,Ixtapa,20.7,-105.2,87.03,66,100,8.05,MX,1659310496
266,Detchino,54.8092,36.3075,54.05,70,92,5.23,RU,1659310497
267,Johi,26.6921,67.6133,87.46,70,84,9.78,PK,1659310497
268,Norman Wells,65.282,-126.8329,73.44,46,20,10.36,CA,1659310497
269,Grand-Santi,4.25,-54.3833,72.75,98,87,2.08,GF,1659310498
270,Motygino,58.1831,94.7592,64.27,97,99,5.1,RU,1659310498
271,Saldanha,-33.0117,17.9442,42.85,79,0,13.15,ZA,1659310498
272,Krutaya Gorka,55.3649,73.2231,64.08,96,87,9.04,RU,1659310499
273,Palana,59.1167,159.9667,54.84,67,26,5.39,RU,1659310499
274,Norwich,52.6278,1.2983,63.36,88,75,5.75,GB,1659310500
275,Dunedin,-45.8742,170.5036,48.13,60,4,3.65,NZ,1659310228
276,Lompoc,34.6391,-120.4579,76.93,69,0,12.66,US,1659310500
277,Buala,-8.145,159.5921,85.03,70,14,12.37,SB,1659310501
278,Puerto Colombia,10.9878,-74.9547,86.09,84,24,22.41,CO,1659310282
279,Lubango,-14.9172,13.4925,49.89,69,11,4.34,AO,1659310501
280,Tiarei,-17.5333,-149.3333,82.42,72,46,25.21,PF,1659310502
281,Balyqshy,47.0667,51.8667,75.2,50,0,6.71,KZ,1659310502
282,Saint-Augustin,51.226,-58.6502,68.02,61,86,8.93,CA,1659310502
283,Fort-Shevchenko,44.5086,50.263,80.01,62,1,11.03,KZ,1659310503
284,Durango,24.8333,-104.8333,78.67,29,80,12.5,MX,1659310366
285,Carnarvon,-24.8667,113.6333,69.76,65,100,11.54,AU,1659310503
286,Luga,58.7372,29.8453,56.93,73,100,3.6,RU,1659310504
287,Hualmay,-11.0964,-77.6139,61.9,81,18,10.13,PE,1659310504
288,Khāsh,28.2211,61.2158,76.95,64,83,2.21,IR,1659310505
289,Necochea,-38.5473,-58.7368,50.99,79,70,7.29,AR,1659310505
290,Kumasi,6.6885,-1.6244,68.79,95,100,6.22,GH,1659310493
291,Krasnosel'kup,65.7,82.4667,46.38,71,5,21.81,RU,1659310506
292,Bilibino,68.0546,166.4372,63.88,42,67,5.53,RU,1659310506
293,Mission,26.2159,-98.3253,93.04,56,0,17.27,US,1659310285
294,Labuhan,-6.8844,112.2051,76.28,82,94,5.39,ID,1659310507
295,Suamico,44.6319,-88.0393,81.37,55,9,14.36,US,1659310507
296,Samarai,-10.6167,150.6667,80.78,80,61,11.45,PG,1659310507
297,Laguna,38.421,-121.4238,91.02,46,0,8.05,US,1659310508
298,Linxia Chengguanzhen,35.6003,103.2064,66.42,80,100,2.68,CN,1659310508
299,Kununurra,-15.7667,128.7333,60.78,59,94,0.0,AU,1659310509
300,Coyhaique,-45.5752,-72.0662,38.01,70,100,6.91,CL,1659310393
301,Ati,13.2154,18.3353,82.35,64,92,5.41,TD,1659310569
302,San Sebastián Villanueva,19.05,-97.7167,61.41,75,91,4.61,MX,1659310569
303,Vestmanna,62.1564,-7.1664,47.68,88,48,14.0,FO,1659310570
304,Northam,51.0333,-4.2167,59.4,95,18,3.27,GB,1659310570
305,Codrington,-38.2667,141.9667,49.84,89,31,17.74,AU,1659310571
306,Neuquén,-38.9516,-68.0591,51.69,66,0,0.0,AR,1659310571
307,Cayenne,4.9333,-52.3333,83.08,1,20,0.0,GF,1659310571
308,Beloha,-25.1667,45.05,64.0,93,5,3.22,MG,1659310572
309,Vallenar,-28.5708,-70.7581,63.82,55,30,2.06,CL,1659310572
310,Bud,39.447,-86.1758,80.91,64,7,1.23,US,1659310573
311,Muli,2.9167,73.5667,80.98,74,100,25.75,MV,1659310573
312,Salalah,17.0151,54.0924,77.09,88,75,9.22,OM,1659310573
313,Saint George,37.1041,-113.5841,89.44,49,20,12.66,US,1659310574
314,Menongue,-14.6585,17.691,54.23,38,4,0.56,AO,1659310574
315,Moose Factory,51.2585,-80.6094,57.2,94,100,8.05,CA,1659310575
316,Rizhao,35.4275,119.4553,80.53,83,4,7.52,CN,1659310575
317,Provideniya,64.3833,-173.3,46.51,76,0,8.95,RU,1659310575
318,Khorixas,-20.3667,14.9667,42.24,94,3,1.79,NA,1659310576
319,Kysyl-Syr,63.8986,122.7617,67.42,91,100,4.14,RU,1659310576
320,Capaci,38.1711,13.2393,82.26,58,0,2.3,IT,1659310576
321,Edd,13.9297,41.6925,91.69,56,84,3.24,ER,1659310577
322,Lüderitz,-26.6481,15.1594,58.23,51,0,7.99,NA,1659310577
323,Talnakh,69.4865,88.3972,45.21,64,16,16.8,RU,1659310578
324,Katsuura,35.1333,140.3,85.86,73,79,6.35,JP,1659310578
325,Agarak,39.2068,46.5446,66.25,67,7,4.38,AM,1659310578
326,Koryukivka,51.7688,32.2481,61.05,72,77,8.79,UA,1659310579
327,Presidente Médici,-11.1753,-61.9014,79.5,36,11,1.95,BR,1659310579
328,Yerbogachën,61.2767,108.0108,69.76,73,18,1.57,RU,1659310580
329,Rawson,-43.3002,-65.1023,47.34,75,98,8.63,AR,1659310580
330,Harper,4.375,-7.7169,75.09,80,100,12.82,LR,1659310580
331,Gwadar,25.1216,62.3254,81.39,86,87,8.08,PK,1659310581
332,Castlerea,53.7667,-8.5,47.95,77,96,1.54,IE,1659310581
333,Beringovskiy,63.05,179.3167,50.4,62,94,4.97,RU,1659310582
334,Yar-Sale,66.8333,70.8333,48.58,75,13,6.11,RU,1659310582
335,Luganville,-15.5333,167.1667,80.71,79,48,11.88,VU,1659310582
336,Shache,38.4167,77.2406,74.71,32,99,16.46,CN,1659310583
337,Karaton,-6.3424,106.1045,73.51,87,56,2.17,ID,1659310583
338,Chernyshevskiy,63.0128,112.4714,69.69,68,22,4.72,RU,1659310584
339,Egvekinot,66.3167,-179.1667,54.27,49,37,4.9,RU,1659310584
340,Taltal,-25.4,-70.4833,59.54,80,24,1.9,CL,1659310584
341,Kathmandu,27.7167,85.3167,70.02,94,75,0.0,NP,1659310438
342,Şabrātah,32.7933,12.4885,81.55,63,0,4.32,LY,1659310585
343,Limbang,4.75,115.0,75.31,97,100,2.57,MY,1659310585
344,Inírida,3.8653,-67.9239,74.37,97,70,2.48,CO,1659310585
345,Vao,-22.6667,167.4833,69.53,77,100,26.31,NC,1659310586
346,Quatre Cocos,-20.2078,57.7625,68.11,70,14,13.82,MU,1659310586
347,Bjerringbro,56.378,9.6607,61.75,98,100,6.2,DK,1659310586
348,‘Ewa Beach,21.3156,-158.0072,89.55,44,0,24.16,US,1659310364
349,Angoche,-16.2325,39.9086,70.65,82,5,4.18,MZ,1659310587
350,Kunri,25.1785,69.5691,81.0,82,32,18.3,PK,1659310647
351,Kutum,14.2,24.6667,68.18,78,100,13.11,SD,1659310648
352,Baoding,38.8511,115.4903,82.26,73,0,2.68,CN,1659310648
